GAME_NAME,GAME_ID,SHARED_FRIENDS,PRICE_MX,PRICE_US
American Truck Simulator,270880,4,$54.99,$4.99
Among Us,945360,4,$44.25,$3.74
Brawlhalla,291550,4,FREE GAME,FREE GAME
Counter-Strike: Global Offensive,730,4,FREE GAME,FREE GAME
EA SPORTS™ FIFA 23,1811260,4,$399.75,$17.49
Keep Talking and Nobody Explodes,341800,4,$71.59,$5.99
Left 4 Dead 2,550,4,$12.39,$0.99
Pacify,967050,4,$40.59,$3.49
Phasmophobia,739630,4,$119.99,$11.19
RISK: Global Domination,1128810,4,FREE GAME,FREE GAME
Age of Empires II: Definitive Edition,813780,3,$46.25,$4.99
Aimlabs,714010,3,FREE GAME,FREE GAME
Destiny 2,1085660,3,FREE GAME,FREE GAME
Grand Theft Auto V,271590,3,FREE GAME,FREE GAME
Hero Siege,269210,3,$28.21,$2.37
Human: Fall Flat,477160,3,$55.79,$5.99
Pro Soccer Online,1583320,3,$113.99,$9.99
Raft,648800,3,$120.59,$13.39
Age of Mythology: Extended Edition,266840,2,$67.49,$7.49
Borderlands 2,49520,2,$44.99,$4.99
Call of Duty®: Modern Warfare® II | Warzone™,1938090,2,$769.45,$38.49
Divinity: Original Sin 2,435150,2,$175.99,$17.99
Fall Guys,1097150,2,FREE GAME,FREE GAME
Gang Beasts,285900,2,$71.99,$7.99
Grand Theft Auto IV: The Complete Edition,12210,2,$119.70,$5.99
Grand Theft Auto: San Andreas,12120,2,FREE GAME,FREE GAME
Grand Theft Auto: San Andreas,12250,2,FREE GAME,FREE GAME
Grand Theft Auto: Vice City,12110,2,FREE GAME,FREE GAME
Grand Theft Auto: Vice City,12240,2,FREE GAME,FREE GAME
Lost Ark,1599340,2,FREE GAME,FREE GAME
PC Building Simulator,621060,2,$56.99,$4.99
SMITE,386360,2,FREE GAME,FREE GAME
SMITE - Public Test,858460,2,FREE GAME,FREE GAME
The Forest,242760,2,$148.79,$15.99
ARK: Survival Evolved,346110,1,$46.49,$4.99
ARK: Survival Of The Fittest,407530,1,FREE GAME,FREE GAME
Apex Legends,1172470,1,FREE GAME,FREE GAME
Batman: Arkham Asylum GOTY Edition,35140,1,$99.75,$4.99
Batman: Arkham City GOTY,200260,1,$99.75,$4.99
Ben and Ed,395200,1,$21.99,$1.99
Ben and Ed - Blood Party,500260,1,$44.99,$4.49
Broforce,274190,1,$35.79,$2.99
Clustertruck,397950,1,$44.74,$3.74
Contraband Police,756800,1,$182.39,$15.99
Cry of Fear,223710,1,FREE GAME,FREE GAME
Cube Escape: Paradox,909080,1,FREE GAME,FREE GAME
DEVOUR,1274570,1,$51.59,$3.99
Deceit,466240,1,FREE GAME,FREE GAME
Demonologist,1929610,1,$125.29,$10.49
EVE Online,8500,1,FREE GAME,FREE GAME
Electrician Simulator - First Shock,1781160,1,FREE GAME,FREE GAME
Escape Room - The Sick Colleague,1301720,1,FREE GAME,FREE GAME
Euro Truck Simulator 2,227300,1,$54.99,$4.99
Food Truck Simulator,1160920,1,$120.89,$12.99
Football Manager 2017,482730,1,FREE GAME,FREE GAME
Football Manager 2022,1569040,1,FREE GAME,FREE GAME
Football Manager Touch 2017,482750,1,FREE GAME,FREE GAME
Garry's Mod,4000,1,$54.99,$4.99
Gas Station Simulator,1149620,1,$159.59,$13.99
Golf With Your Friends,431240,1,$65.99,$4.94
Hogwarts Legacy,990080,1,$799.20,$47.99
Hollow Knight,367520,1,$89.49,$7.49
It Takes Two,1426210,1,$359.60,$15.99
Just Act Natural,1485080,1,FREE GAME,FREE GAME
LEGO® Star Wars™: The Complete Saga,32440,1,$46.49,$4.99
Life is Strange™,319630,1,FREE GAME,FREE GAME
Marvel's Avengers - The Definitive Edition,997070,1,$129.75,$5.99
Move or Die,323850,1,$37.49,$3.74
MultiVersus,1818750,1,FREE GAME,FREE GAME
Need for Speed™ Heat ,1222680,1,$319.80,$13.99
Outlast 2,414700,1,$50.24,$4.49
PUBG: BATTLEGROUNDS,578080,1,FREE GAME,FREE GAME
Project CARS,234630,1,FREE GAME,FREE GAME
Pummel Party,880940,1,$92.99,$8.99
RuneScape,1343400,1,FREE GAME,FREE GAME
STAR WARS Jedi: Fallen Order™ ,1172380,1,$899.00,$39.99
STAR WARS™ Knights of the Old Republic™,32370,1,$39.89,$3.49
STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,208580,1,$39.89,$3.49
STAR WARS™: The Old Republic™,1286830,1,FREE GAME,FREE GAME
Sea of Thieves,1172620,1,$199.50,$19.99
Shadow of the Tomb Raider,750920,1,FREE GAME,FREE GAME
Sid Meier's Civilization VI,289070,1,$59.90,$5.99
SimCity 4 Deluxe,24780,1,$109.75,$4.99
Slapshot: Rebound,1173370,1,FREE GAME,FREE GAME
Sleeping Dogs: Definitive Edition,307690,1,$40.49,$2.99
Sons Of The Forest,1326470,1,$267.99,$23.99
South Park The Fractured But Whole,488790,1,$199.80,$9.99
South Park™: The Stick of Truth™,213670,1,$149.75,$7.49
"Star Wars: Battlefront 2 (Classic, 2005)",6060,1,$39.89,$3.49
Tabletop Simulator,286160,1,$89.99,$9.99
Tales of Escape,587860,1,FREE GAME,FREE GAME
Tom Clancy's Rainbow Six Siege,359550,1,$139.60,$7.99
Tom Clancy's Rainbow Six Siege - Test Server,623990,1,FREE GAME,FREE GAME
Valheim,892970,1,$111.59,$11.99
Wallpaper Engine,431960,1,$49.99,$3.99
We Were Here Together,865360,1,$71.09,$5.84
World of Warships,552990,1,FREE GAME,FREE GAME
Worms W.M.D,327030,1,$73.99,$5.99
eFootball™ 2023,1665460,1,FREE GAME,FREE GAME
